Tipo de atividade,Data,Favorito,Título,Distância,Calorias,Tempo,FC Média,FC máxima,Cadência de corrida média,Cadência de corrida máxima,Ritmo médio,Melhor ritmo,Subida total,Descida total,Comprimento médio da passada,Training Stress Score®,Total de braçadas,Média de Swolf,Taxa média de braçadas,Passos,Descompressão,Tempo da melhor volta,Número de voltas,Tempo em movimento,Duração,Elevação mínima,Elevação máxima
Corrida,2026-03-02 06:34:08,false,"São Paulo - Forte x Fraco","11.00","611","00:59:34","153","169","184","200","5:25","4:33","243","256","1.00","0.0","--","--","--","10,900","Não","00:00:00.9","19","00:59:26","01:02:00","743","774"
Corrida,2026-02-28 07:37:12,false,"São Paulo - Longo","10.03","545","00:59:15","137","159","179","186","5:54","4:43","161","163","0.95","0.0","--","--","--","10,610","Não","00:00:12.1","11","00:59:03","01:19:04","744","775"
Corrida,2026-02-27 06:30:51,false,"São Paulo - Rodagem","22.01","1,238","02:06:45","148","161","179","197","5:46","4:59","306","309","0.97","0.0","--","--","--","22,594","Não","00:00:02.9","23","02:06:38","02:20:13","743","775"
Corrida,2026-02-25 06:58:43,false,"São Paulo Corrida","4.01","225","00:22:37","148","155","180","187","5:39","5:12","45","44","0.99","0.0","--","--","--","4,070","Não","00:00:01.6","5","00:22:29","00:22:37","747","766"
Corrida,2026-02-25 06:34:53,false,"São Paulo Corrida","3.01","157","00:14:09","164","173","190","202","4:42","4:18","11","22","1.12","0.0","--","--","--","2,658","Não","00:00:02.4","4","00:14:03","00:14:09","747","774"
Corrida,2026-02-25 06:14:59,false,"São Paulo - Base","3.00","159","00:16:32","139","152","180","187","5:30","5:00","59","40","1.01","0.0","--","--","--","2,974","Não","00:00:01.1","4","00:16:26","00:17:52","747","774"
Corrida,2026-02-23 06:47:47,false,"São Paulo - Forte x Fraco","10.01","541","00:55:25","145","158","181","196","5:32","4:33","173","174","1.00","0.0","--","--","--","9,996","Não","00:00:10.8","17","00:55:06","00:57:40","744","775"
Corrida,2026-02-21 07:09:39,false,"São Paulo Corrida","10.01","551","00:58:49","140","151","179","191","5:53","5:12","151","147","0.95","0.0","--","--","--","10,510","Não","00:00:01.5","11","00:58:44","01:02:00","744","774"
Corrida,2026-02-20 06:36:32,false,"São Paulo Corrida","16.01","897","01:31:38","147","164","180","194","5:43","4:54","193","194","0.97","0.0","--","--","--","16,448","Não","00:00:02.8","17","01:31:28","01:42:23","744","775"
Corrida,2026-02-18 06:30:55,false,"São Paulo - Potência","4.85","254","00:28:23","132","158","171","192","5:51","4:43","105","112","1.00","0.0","--","--","--","4,934","Não","00:00:41.1","8","00:27:49","00:51:49","747","775"
Corrida,2026-02-16 06:46:15,false,"São Paulo - Forte x Fraco","9.01","483","00:52:03","140","158","177","201","5:47","4:17","160","161","0.98","0.0","--","--","--","9,126","Não","00:00:03.3","15","00:50:30","01:00:31","744","775"
Corrida,2026-02-14 06:56:58,false,"São Paulo - Base","12.01","631","01:12:11","132","147","178","185","6:01","5:27","174","175","0.93","0.0","--","--","--","12,888","Não","00:02:16.5","13","01:11:51","01:24:54","744","775"
Corrida,2026-02-13 06:18:35,false,"São Paulo - Longo","22.01","1,232","02:08:20","148","167","179","190","5:50","5:17","339","342","0.96","0.0","--","--","--","22,970","Não","00:00:02.7","23","02:08:13","02:23:26","744","774"
Corrida,2026-02-11 06:39:37,false,"São Paulo - Potência","11.01","600","01:07:32","138","161","158","239","6:08","4:11","203","202","1.03","0.0","--","--","--","11,102","Não","00:00:02.7","33","01:07:04","01:09:48","744","775"
Corrida,2026-02-09 07:01:47,false,"São Paulo - Rodagem","8.01","429","00:46:06","141","156","181","194","5:45","4:59","113","116","0.96","0.0","--","--","--","8,320","Não","00:00:05.0","9","00:46:00","00:46:06","744","774"
Corrida,2026-02-07 07:40:16,false,"São Paulo - Pico do Jaraguá","14.01","830","01:35:26","145","184","174","230","6:49","5:12","491","492","0.84","0.0","--","--","--","16,784","Não","00:00:01.5","15","01:35:07","01:59:26","764","1,084"
Corrida,2026-02-06 06:50:51,false,"São Paulo - Rodagem","12.01","670","01:09:17","145","157","178","186","5:46","5:04","226","228","0.98","0.0","--","--","--","12,260","Não","00:00:02.1","13","01:09:10","01:14:17","743","775"
Corrida,2026-02-04 06:37:34,false,"São Paulo - Potência","11.01","596","01:07:59","136","160","159","247","6:10","4:13","200","202","1.03","0.0","--","--","--","11,292","Não","00:00:02.9","33","01:07:21","01:09:59","743","775"
Corrida,2026-02-02 06:37:49,false,"São Paulo Corrida","11.01","618","01:03:02","147","161","178","196","5:44","4:35","208","207","0.98","0.0","--","--","--","11,266","Não","00:00:01.9","12","01:02:46","01:07:36","743","775"
Corrida,2026-01-31 07:05:35,false,"São Bernardo do Campo - Longo","20.00","1,127","01:57:11","145","163","183","194","5:51","5:01","185","187","0.93","0.0","--","--","--","21,388","Não","00:05:29.7","20","01:56:40","02:23:45","730","769"
